08:03:54.192242 | user: luasha_5   | success: true  | req made in window: 14    | time before next req: 0  
08:03:54.193432 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 0  
08:03:54.193432 | user: luasha_4   | success: true  | req made in window: 14    | time before next req: 0  
08:03:54.194455 | user: luasha_3   | success: true  | req made in window: 11    | time before next req: 0  
08:03:55.209676 | user: luasha_5   | success: true  | req made in window: 12    | time before next req: 0  
08:03:55.210189 | user: luasha_3   | success: true  | req made in window: 12    | time before next req: 0  
08:03:55.212912 | user: luasha_3   | success: true  | req made in window: 13    | time before next req: 0  
08:03:55.212912 | user: luasha_2   | success: true  | req made in window: 11    | time before next req: 0  
08:03:55.214119 | user: luasha_3   | success: true  | req made in window: 14    | time before next req: 0  
08:03:55.214653 | user: luasha_2   | success: true  | req made in window: 12    | time before next req: 0  
08:03:55.216183 | user: luasha_3   | success: true  | req made in window: 15    | time before next req: 0  
08:03:55.216183 | user: luasha_5   | success: true  | req made in window: 13    | time before next req: 0  
08:03:55.217398 | user: luasha_2   | success: true  | req made in window: 13    | time before next req: 0  
08:03:55.217398 | user: luasha_4   | success: true  | req made in window: 12    | time before next req: 0  
08:03:55.218601 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 6  
08:03:55.218601 | user: luasha_2   | success: true  | req made in window: 14    | time before next req: 0  
08:03:55.219616 | user: luasha_4   | success: true  | req made in window: 13    | time before next req: 0  
08:03:55.219616 | user: luasha_4   | success: true  | req made in window: 14    | time before next req: 0  
08:03:55.220818 | user: luasha_1   | success: true  | req made in window: 15    | time before next req: 0  
08:03:55.220818 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 6  
08:03:55.221849 | user: luasha_4   | success: true  | req made in window: 15    | time before next req: 0  
08:03:55.221849 | user: luasha_5   | success: true  | req made in window: 14    | time before next req: 0  
08:03:55.221849 | user: luasha_2   | success: true  | req made in window: 15    | time before next req: 0  
08:03:55.223710 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 6  
08:03:55.225299 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
08:03:55.225299 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 6  
08:03:55.225299 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:55.225299 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 6  
08:03:56.228934 | user: luasha_5   | success: true  | req made in window: 14    | time before next req: 0  
08:03:56.231229 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
08:03:56.232070 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:56.233607 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:56.233607 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:56.235691 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 5  
08:03:56.236355 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:56.236355 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
