07:33:42.190996 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.190996 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.191515 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.192041 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.193242 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.193242 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.193745 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.193745 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.193745 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.196276 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.196276 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.196276 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.197032 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.197536 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.198661 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 5  
07:33:43.212582 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.213091 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.213091 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.219523 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.221019 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.221019 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.224739 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.224739 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.226622 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.227127 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.228841 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.230008 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.230008 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.232030 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.232636 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.233140 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.233140 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.233140 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.233140 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.236342 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.237155 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.237660 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.238697 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.240966 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.242872 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.243546 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.244158 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 4  
07:33:43.244662 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 4  
07:33:44.266531 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.266531 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.270186 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.270186 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.270186 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.270186 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.274571 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.275321 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.275321 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.278668 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.279172 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.281473 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.281473 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.282914 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.282914 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.284651 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.285154 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.285154 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.285154 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.287501 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.288008 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.288008 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 3  
07:33:44.289187 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 3  
07:33:45.294422 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.299347 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.301246 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.302631 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.303675 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.304184 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.304184 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.306194 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.307593 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.308101 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.308101 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.310556 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.311059 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.311059 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.313409 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.313913 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.315483 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.315483 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.315483 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.315483 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.315483 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.315483 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.318957 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.319485 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 2  
07:33:45.319990 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 2  
07:33:46.337499 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.337499 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.339961 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.339961 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.341038 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.341038 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.342205 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.343237 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.344625 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.344625 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.344625 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.344625 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.344625 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.345130 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.346045 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.346631 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.347134 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.347681 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.347877 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.348444 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.348444 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 1  
07:33:46.348948 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 1  
07:33:47.361132 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.362317 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 0  
